label,topic,word,prob,ranknum
Long Island,0,time,14.319802641571593,20
Long Island,0,want,14.413102027066525,19
Long Island,0,good,14.863949503739175,18
Long Island,0,know,15.820692752471247,17
Long Island,0,ll,16.297352478619743,16
Long Island,0,think,16.678653241982325,15
Long Island,0,years,17.091924032233898,14
Long Island,0,going,17.256827977242747,13
Long Island,0,probably,17.298164720406994,12
Long Island,0,people,20.6714665964106,11
Long Island,0,don,21.629487437648258,10
Long Island,0,place,22.223182914903706,9
Long Island,0,apartments,23.194157692312263,8
Long Island,0,long,24.10026813160888,7
Long Island,0,island,24.66944394224664,6
Long Island,0,looking,24.82260521048486,5
Long Island,0,like,30.60941326415606,4
Long Island,0,power,33.303528986504794,3
Long Island,0,li,34.1633527035623,2
Long Island,0,just,34.52908773944324,1
Long Island,1,lipa,12.113036396482295,20
Long Island,1,gov,12.398998923334142,19
Long Island,1,park,12.477632523393522,18
Long Island,1,commack,13.977380118459173,17
Long Island,1,does,13.996478801613687,16
Long Island,1,don,14.224516557335981,15
Long Island,1,district,14.466909011925473,14
Long Island,1,ny,14.945487373887229,13
Long Island,1,sure,15.179121873868636,12
Long Island,1,time,15.754128361316194,11
Long Island,1,districts,17.20162105721371,10
Long Island,1,know,19.1563748295089,9
Long Island,1,school,19.202179603233358,8
Long Island,1,state,23.714306039604686,7
Long Island,1,island,26.71788693134982,6
Long Island,1,com,34.513998414416825,5
Long Island,1,power,37.97807026663145,4
Long Island,1,long,38.314253631366604,3
Long Island,1,www,39.08581404441952,2
Long Island,1,https,58.176364717459585,1
Long Island,2,got,30.197039124847493,20
Long Island,2,schools,30.199070480328913,19
Long Island,2,right,30.611922789736923,18
Long Island,2,open,31.83246680059717,17
Long Island,2,tax,32.200117146943626,16
Long Island,2,really,32.59814518064269,15
Long Island,2,year,33.51718957884394,14
Long Island,2,time,35.677229727767326,13
Long Island,2,home,35.9105510875063,12
Long Island,2,school,38.066719221831846,11
Long Island,2,know,42.326650939021924,10
Long Island,2,gyms,47.199924315034146,9
Long Island,2,power,49.6332152724634,8
Long Island,2,think,55.315057863167866,7
Long Island,2,going,55.79773843989091,6
Long Island,2,people,79.5096401587146,5
Long Island,2,gym,80.19982279789794,4
Long Island,2,like,83.99066269228649,3
Long Island,2,don,84.35738890947357,2
Long Island,2,just,95.47770919546291,1
Long Island,3,thanks,18.312982056663248,20
Long Island,3,today,19.033211153621217,19
Long Island,3,don,19.06154909532411,18
Long Island,3,didn,19.25362014476599,17
Long Island,3,good,20.57873100635954,16
Long Island,3,people,20.663113127696633,15
Long Island,3,days,20.819648053757003,14
Long Island,3,said,21.62934332898818,13
Long Island,3,time,22.731256093010195,12
Long Island,3,service,24.69346671360063,11
Long Island,3,internet,25.807119882021908,10
Long Island,3,know,25.866329969979994,9
Long Island,3,pseg,29.06722083975722,8
Long Island,3,new,29.489325283758767,7
Long Island,3,like,35.49350395247042,6
Long Island,3,got,37.413260584527954,5
Long Island,3,optimum,40.14429407494203,4
Long Island,3,ve,41.58422081427714,3
Long Island,3,just,47.65944878222025,2
Long Island,3,power,60.88494443393016,1
Long Island,4,place,25.692647543239577,20
Long Island,4,best,26.51855089427378,19
Long Island,4,need,27.42787577777387,18
Long Island,4,parking,28.12828570578347,17
Long Island,4,really,29.24651079104745,16
Long Island,4,montauk,30.199217038270024,15
Long Island,4,long,31.60786470259458,14
Long Island,4,ll,32.725131872024505,13
Long Island,4,years,34.24678880090055,12
Long Island,4,beach,34.333949989117215,11
Long Island,4,sure,38.32710206273638,10
Long Island,4,looking,41.517895357435265,9
Long Island,4,lot,43.69617946083332,8
Long Island,4,don,43.72705800021241,7
Long Island,4,good,45.79690854396199,6
Long Island,4,island,46.74863502814886,5
Long Island,4,know,47.82995150901227,4
Long Island,4,people,62.40808532751695,3
Long Island,4,like,67.6951140256866,2
Long Island,4,just,87.31936232841308,1
Westchester,0,sure,10.586277955706057,20
Westchester,0,park,10.80655951792129,19
Westchester,0,know,10.835920423524442,18
Westchester,0,nice,11.58857150789859,17
Westchester,0,com,12.369229984524873,16
Westchester,0,best,12.522541734821834,15
Westchester,0,month,13.198455681867317,14
Westchester,0,days,13.222346671606154,13
Westchester,0,place,13.437458208934496,12
Westchester,0,thanks,13.958138129066192,11
Westchester,0,great,14.041442011879298,10
Westchester,0,results,14.071401008219134,9
Westchester,0,really,14.121559950445757,8
Westchester,0,time,14.29074563875409,7
Westchester,0,https,15.388513837720442,6
Westchester,0,course,15.909720594782122,5
Westchester,0,just,19.934621227204122,4
Westchester,0,looking,20.68615656713086,3
Westchester,0,westchester,22.077313878033976,2
Westchester,0,good,22.751016500222477,1
Westchester,1,schools,25.572630992314163,20
Westchester,1,water,25.858351263840248,19
Westchester,1,kids,26.020481562046648,18
Westchester,1,home,26.340621909317942,17
Westchester,1,really,26.467788230858922,16
Westchester,1,people,27.456284184611114,15
Westchester,1,time,28.269076639913333,14
Westchester,1,sure,28.757570096291545,13
Westchester,1,know,30.322009906754722,12
Westchester,1,good,32.39714664928748,11
Westchester,1,test,34.868771469650085,10
Westchester,1,don,36.17879120285249,9
Westchester,1,https,39.22164549237676,8
Westchester,1,just,40.06132425254978,7
Westchester,1,com,40.107571171555705,6
Westchester,1,like,41.9292216906804,5
Westchester,1,new,42.6287035925549,4
Westchester,1,school,46.29782275070274,3
Westchester,1,taxes,46.98320675673279,2
Westchester,1,westchester,58.232222087128584,1
Westchester,2,work,30.352663462765328,20
Westchester,2,know,31.897577944828406,19
Westchester,2,new,32.39124940321527,18
Westchester,2,storm,32.84714818850266,17
Westchester,2,optimum,33.536528924289854,16
Westchester,2,https,33.751311561259286,15
Westchester,2,state,34.01074115489645,14
Westchester,2,lines,34.68498948897612,13
Westchester,2,got,34.85808722659944,12
Westchester,2,westchester,34.90580385607136,11
Westchester,2,going,38.54479291321061,10
Westchester,2,service,39.6554823797869,9
Westchester,2,time,40.34179850240119,8
Westchester,2,like,41.78921705227437,7
Westchester,2,coned,43.84960205768692,6
Westchester,2,people,45.56545548104265,5
Westchester,2,don,47.472702886188586,4
Westchester,2,just,55.35708943570028,3
Westchester,2,ed,59.395939258846326,2
Westchester,2,power,114.89339538203869,1
Westchester,3,pretty,18.936774561162476,20
Westchester,3,white,19.00258683630482,19
Westchester,3,live,19.773634907115213,18
Westchester,3,thanks,20.19917655907954,17
Westchester,3,don,20.564802757843292,16
Westchester,3,know,20.629209099007767,15
Westchester,3,yonkers,21.57137807338858,14
Westchester,3,train,21.994560398450638,13
Westchester,3,nice,22.150463656854676,12
Westchester,3,just,22.778544528947716,11
Westchester,3,great,23.580589694732446,10
Westchester,3,north,28.23858987595207,9
Westchester,3,river,28.82896634304981,8
Westchester,3,city,29.3736942252553,7
Westchester,3,good,30.520190307429097,6
Westchester,3,want,32.87499899173341,5
Westchester,3,schools,33.826651741161996,4
Westchester,3,school,37.547360527559675,3
Westchester,3,like,39.212379756875954,2
Westchester,3,westchester,62.301686483573526,1
Westchester,4,rye,21.439839394073395,20
Westchester,4,area,21.529647381973156,19
Westchester,4,want,21.534869849884625,18
Westchester,4,time,21.599092692389195,17
Westchester,4,place,22.167792955489272,16
Westchester,4,dr,22.198165058881532,15
Westchester,4,days,22.33837057562241,14
Westchester,4,generator,23.48395675214632,13
Westchester,4,ve,24.662770052472393,12
Westchester,4,white,24.674600651131826,11
Westchester,4,plains,25.113340116098684,10
Westchester,4,don,26.05374866760924,9
Westchester,4,going,26.860187221254407,8
Westchester,4,really,27.510062287912564,7
Westchester,4,like,42.363546051889905,6
Westchester,4,deli,44.200075695172224,5
Westchester,4,just,47.86842055559308,4
Westchester,4,rd,53.19598488733508,3
Westchester,4,good,53.511321788511104,2
Westchester,4,power,55.425957969148705,1
